MSFT,INTC,GIS,AMD,NVDA,JNJ,AMZN,PFE,MCD,FDX,Date
264.600006,30.190001,75.900002,88.309998,217.089996,165.539993,112.910004,44.34,263.209991,214.5,2/2/2023
258.350006,30.32,75.480003,86.089996,211,164.610001,103.389999,44.060001,264.230011,214.669998,2/3/2023
256.769989,28.690001,77.18,83.68,210.889999,163.360001,102.18,43.759998,267.920013,210.589996,2/6/2023
267.559998,29.049999,76.309998,85.910004,221.729996,163.399994,102.110001,43.59,267.339996,209.910004,2/7/2023
266.730011,28.24,75.739998,84.690002,222.050003,163.610001,100.050003,43.98,262.820007,209.479996,2/8/2023
263.619995,27.73,75.220001,83.209999,223.369995,161.399994,98.239998,43.34,260.660004,208.619995,2/9/2023
263.100006,27.799999,76.089996,81.480003,212.649994,162.149994,97.610001,43.880001,262.420013,209.369995,2/10/2023
271.320007,28.549999,76.599998,83.129997,217.880005,162.75,99.540001,43.990002,266.200012,211.660004,2/13/2023
272.170013,28.639999,75.349998,85.949997,229.710007,162.039993,99.699997,43.720001,266.609985,212.669998,2/14/2023
269.320007,28.85,75.110001,85.18,227.639999,159.369995,101.160004,43.32,266.559998,213.039993,2/15/2023
262.149994,28.200001,75.110001,80.080002,220.020004,158.240005,98.150002,42.950001,265.829987,211.669998,2/16/2023
258.059998,27.610001,76.769997,78.5,213.880005,160.389999,97.199997,43.209999,269.98999,210.300003,2/17/2023
252.669998,26.059999,80.160004,76.769997,206.550003,158,94.580002,42.700001,268.549988,205.649994,2/21/2023
251.509995,25.469999,80.279999,76.610001,207.539993,157.779999,95.790001,42.380001,268.640015,202.830002,2/22/2023
254.770004,25.610001,80.300003,79.75,236.639999,157.729996,95.82,42.299999,266.779999,205.179993,2/23/2023
249.220001,25.139999,80.639999,78.089996,232.860001,155.970001,93.5,41.75,263.679993,203.279999,2/24/2023
250.160004,24.9,80.980003,78.769997,235.009995,155.630005,93.760002,40.779999,264.779999,204.059998,2/27/2023
249.419998,24.93,79.510002,78.580002,232.160004,153.259995,94.230003,40.57,263.910004,203.220001,2/28/2023
246.270004,25.33,78.849998,78.290001,226.979996,152.570007,92.169998,40.18,262.720001,204.330002,3/1/2023
251.110001,26.200001,78.949997,80.440002,233.139999,152.449997,92.129997,40.619999,267.570007,206.929993,3/2/2023
255.289993,26.4,79.599998,81.519997,238.899994,154.020004,94.900002,41.150002,269.070007,209.080002,3/3/2023
256.869995,25.99,79.110001,81.160004,235.539993,155.559998,93.75,41.110001,270.640015,210.130005,3/6/2023
